Date,Open,High,Low,Close,Volume,Adjusted Close
1996-10-30,376.68,377.47,375.36,375.66,18820000.0,375.66
1996-10-29,373.28,376.87,371.69,376.68,18160000.0,376.68
1996-10-28,374.56,378.27,372.97,373.28,18270000.0,373.28
1996-10-25,372.94,375.66,372.26,374.56,17280000.0,374.56
1996-10-24,378.38,378.38,372.9,372.94,17040000.0,372.94
1996-10-23,380.84,380.84,377.21,378.38,17570000.0,378.38
1996-10-22,380.69,381.33,379.55,380.84,18350000.0,380.84
1996-10-21,380.46,384.28,379.48,380.69,19210000.0,380.69
1996-10-18,375.24,380.57,375.24,380.46,19050000.0,380.46
1996-10-17,372.82,375.51,372.48,375.24,17960000.0,375.24
1996-10-16,373.58,373.92,370.97,372.82,14930000.0,372.82
1996-10-15,374.71,375.85,372.07,373.58,17600000.0,373.58
1996-10-14,370.71,375.85,370.71,374.71,11730000.0,374.71
1996-10-11,367.53,371.24,367.53,370.71,14920000.0,370.71
1996-10-10,368.21,368.29,366.47,367.53,18320000.0,367.53
1996-10-09,371.5,372.33,367.27,368.21,19050000.0,368.21
1996-10-08,370.89,374.41,370.86,371.5,21920000.0,371.5
1996-10-07,367.08,371.31,367.04,370.89,29210000.0,370.89
1996-10-04,361.37,367.68,361.37,367.08,21810000.0,367.08
1996-10-03,362.58,362.62,360.01,361.37,18800000.0,361.37
1996-10-02,359.78,363.11,359.78,362.58,19620000.0,362.58
1996-10-01,356.15,359.78,355.51,359.78,18620000.0,359.78
1996-09-30,355.36,357.02,354.71,356.15,18420000.0,356.15
1996-09-27,354.26,355.36,353.66,355.36,18160000.0,355.36
1996-09-26,354.45,355.4,353.81,354.26,23670000.0,354.26
1996-09-25,355.89,356.91,354.22,354.45,18610000.0,354.45
1996-09-24,355.21,356.95,354.3,355.89,20370000.0,355.89
1996-09-23,356.87,356.87,352.86,355.21,12780000.0,355.21
1996-09-20,354.75,357.21,354.71,356.87,28170000.0,356.87
1996-09-19,354.98,355.51,354.34,354.75,17940000.0,354.75
1996-09-18,354.15,355.74,353.73,354.98,21240000.0,354.98
1996-09-17,356.64,356.64,352.86,354.15,19940000.0,354.15
1996-09-16,354.64,357.32,353.39,356.64,20150000.0,356.64
1996-09-13,353.92,356.57,353.92,354.64,23580000.0,354.64
1996-09-12,355.36,355.62,353.66,353.92,17890000.0,353.92
1996-09-11,349.46,356.34,349.46,355.36,18170000.0,355.36
1996-09-10,350.71,351.27,348.59,349.46,19250000.0,349.46
1996-09-09,348.17,350.97,348.1,350.71,16520000.0,350.71
1996-09-06,346.06,349.04,345.11,348.17,16990000.0,348.17
1996-09-05,346.89,348.14,345.53,346.06,20240000.0,346.06
1996-09-04,348.06,348.14,345.83,346.89,14160000.0,346.89
1996-09-03,339.97,349.2,339.97,348.06,18180000.0,348.06
